iso3,year,co2_emissions_pc
KHM,2012,0.37308234
KHM,2013,0.3708411
KHM,2014,0.43509033
KHM,2015,0.5241824
CMR,2008,0.39413145
CMR,2009,0.44757625
CMR,2010,0.42624032
CMR,2011,0.4005975
CMR,2012,0.3653794
CMR,2013,0.3667591
CMR,2014,0.3976225
CMR,2015,0.43274093
CAN,2008,17.213322
CAN,2009,16.04697
CAN,2010,16.22177
CAN,2011,16.301926
CAN,2012,16.156374
CAN,2013,16.117844
CAN,2014,15.896746
CAN,2015,15.728835
CPV,2008,0.935434
CPV,2009,1.0279344
CPV,2010,1.0924569
CPV,2011,1.2035358
CPV,2012,0.98047143
CPV,2013,0.96565616
CPV,2014,0.9511608
CPV,2015,0.9581796
CAF,2008,0.036165923
CAF,2009,0.03559598
CAF,2010,0.037512567
CAF,2011,0.040933866
CAF,2012,0.041321684
CAF,2013,0.025255771
CAF,2014,0.026945908
CAF,2015,0.038782343
TCD,2008,0.07602302
TCD,2009,0.10224242
TCD,2010,0.10038561
TCD,2011,0.099799976
TCD,2012,0.13193142
TCD,2013,0.15181394
TCD,2014,0.15383953
TCD,2015,0.16055149
CHL,2008,4.189833
CHL,2009,3.8777707
CHL,2010,4.1525874
CHL,2011,4.4993267
CHL,2012,4.5447974
CHL,2013,4.6212916
CHL,2014,4.3433175
CHL,2015,4.531463
CHN,2008,5.624066
CHN,2009,5.8777986
CHN,2010,6.378234
CHN,2011,7.0077763
CHN,2012,7.140667
CHN,2013,7.219921
CHN,2014,7.19784
CHN,2015,7.0648346
COL,2008,1.5302975
COL,2009,1.6367313
COL,2010,1.7032385
COL,2011,1.6841542
COL,2012,1.7555257
COL,2013,1.9090279
COL,2014,2.0203373
COL,2015,2.0877974
COM,2008,0.17466639
COM,2009,0.21118255
COM,2010,0.24618955
COM,2011,0.21389568
COM,2012,0.2257624
COM,2013,0.26314202
COM,2014,0.22658259
COM,2015,0.24706165
COG,2008,1.0381061
COG,2009,1.1547302
COG,2010,1.2325346
COG,2011,1.0947329
COG,2012,1.0585535
COG,2013,1.2127333
COG,2014,1.09952
COG,2015,1.1057556
COK,2008,4.1212273
COK,2009,3.9978178
COK,2010,4.310842
COK,2011,4.6119695
COK,2012,4.7640905
COK,2013,4.781119
COK,2014,4.59174
COK,2015,4.4046025
CRI,2008,1.7995138
CRI,2009,1.7218038
CRI,2010,1.6445795
CRI,2011,1.5859172
CRI,2012,1.5566447
CRI,2013,1.6181657
CRI,2014,1.6253628
CRI,2015,1.5371426
CIV,2008,0.31200457
CIV,2009,0.25729427
CIV,2010,0.27680218
CIV,2011,0.28383818
CIV,2012,0.36391443
CIV,2013,0.4043384
CIV,2014,0.40376183
CIV,2015,0.3784605
HRV,2008,5.451251
HRV,2009,5.0472794
HRV,2010,4.8792157
HRV,2011,4.816974
HRV,2012,4.4741144
HRV,2013,4.3385963
HRV,2014,4.1846795
HRV,2015,4.255293
CUB,2008,2.4564986
CUB,2009,2.4631934
CUB,2010,2.9244213
CUB,2011,2.5720613
CUB,2012,2.6077476
CUB,2013,2.4692283
CUB,2014,2.4251754
CUB,2015,2.5801463
CYP,2008,7.9894676
CYP,2009,7.6360445
CYP,2010,7.1839247
CYP,2011,6.7936635
CYP,2012,6.2330227
CYP,2013,5.561163
CYP,2014,5.784701
CYP,2015,5.7177787
CZE,2008,11.845384
CZE,2009,11.033749
CZE,2010,11.226669
CZE,2011,10.975093
CZE,2012,10.5913925
CZE,2013,10.153251
CZE,2014,9.911937
CZE,2015,9.976885
COD,2008,0.04170046
COD,2009,0.036830176
COD,2010,0.03989632
COD,2011,0.042922717
COD,2012,0.038186394
COD,2013,0.051736645
COD,2014,0.064614125
COD,2015,0.04040672
DNK,2008,9.327979
DNK,2009,8.8427105
DNK,2010,8.864574
DNK,2011,7.9389625
DNK,2012,7.1269546
DNK,2013,7.4359493
DNK,2014,6.655955
DNK,2015,6.175978
DJI,2008,0.5581743
DJI,2009,0.4863772
DJI,2010,0.5553598
DJI,2011,0.33218986
DJI,2012,0.3069905
DJI,2013,0.39040363
DJI,2014,0.4128311
DJI,2015,0.4948678
DMA,2008,2.4474907
DMA,2009,2.7128527
DMA,2010,2.5004065
DMA,2011,2.227936
DMA,2012,2.3849337
DMA,2013,2.2593608
DMA,2014,2.3425446
DMA,2015,2.497153
DOM,2008,2.1238427
DOM,2009,2.040239
DOM,2010,2.092981
DOM,2011,2.143447
DOM,2012,2.1106145
DOM,2013,2.0862567
DOM,2014,2.113379
DOM,2015,2.2515552
TLS,2008,0.27617607
TLS,2009,0.30391753
TLS,2010,0.28868604
TLS,2011,0.39081725
TLS,2012,0.5210162
TLS,2013,0.53399384
TLS,2014,0.52817845
TLS,2015,0.4892568
ECU,2008,2.0798635
ECU,2009,2.2662005
ECU,2010,2.4061246
ECU,2011,2.4966292
ECU,2012,2.4022808
ECU,2013,2.5086765
ECU,2014,2.727222
ECU,2015,2.5375113
EGY,2008,2.3027802
EGY,2009,2.3597033
EGY,2010,2.2826967
EGY,2011,2.381271
EGY,2012,2.2942379
EGY,2013,2.217675
EGY,2014,2.326489
EGY,2015,2.253873
SLV,2008,1.0622653
SLV,2009,1.0436777
SLV,2010,1.0412601
SLV,2011,1.0672034
SLV,2012,1.058539
SLV,2013,0.99277174
SLV,2014,0.9980857
SLV,2015,1.0782864
GNQ,2008,5.4785557
GNQ,2009,4.3159294
GNQ,2010,5.384114
GNQ,2011,4.907646
GNQ,2012,5.334955
GNQ,2013,6.088294
GNQ,2014,5.4808073
GNQ,2015,4.8375826
ERI,2008,0.14144821
ERI,2009,0.15444435
ERI,2010,0.15891191
ERI,2011,0.1927028
ERI,2012,0.20027304
ERI,2013,0.1852447
ERI,2014,0.18386944
ERI,2015,0.17850116
EST,2008,13.323685
EST,2009,10.794065
EST,2010,14.243671
EST,2011,14.274907
EST,2012,13.429003
EST,2013,14.8975725
EST,2014,14.290286
EST,2015,12.003538
SWZ,2008,0.9309333
SWZ,2009,0.9581408
SWZ,2010,0.8965124
SWZ,2011,0.90137714
SWZ,2012,1.039993
SWZ,2013,1.2386277
SWZ,2014,0.67714214
SWZ,2015,0.7598447
ETH,2008,0.0750213
ETH,2009,0.073328234
ETH,2010,0.070071824
ETH,2011,0.07954707
ETH,2012,0.08411424
ETH,2013,0.099950224
ETH,2014,0.1154268
ETH,2015,0.12226406
FRO,2008,12.986482
FRO,2009,11.85785
FRO,2010,13.077839
FRO,2011,11.842276
FRO,2012,12.261058
FRO,2013,13.428193
FRO,2014,12.310254
FRO,2015,12.434051
FJI,2008,0.87604755
FJI,2009,0.77137095
FJI,2010,1.1308817
FJI,2011,1.0233617
FJI,2012,0.9971768
FJI,2013,1.1315577
FJI,2014,1.2857696
FJI,2015,1.352187
FIN,2008,11.033464
FIN,2009,10.474156
FIN,2010,11.950002
FIN,2011,10.513088
FIN,2012,9.44869
FIN,2013,9.508816
FIN,2014,8.719286
FIN,2015,8.064649
FRA,2008,6.1977158
FRA,2009,5.876987
FRA,2010,5.936185
FRA,2011,5.560235
FRA,2012,5.5642834
FRA,2013,5.5709805
FRA,2014,5.0522456
FRA,2015,5.106422
PYF,2008,3.1126049
PYF,2009,3.1134264
PYF,2010,3.4122894
PYF,2011,3.2630975
PYF,2012,3.2065854
PYF,2013,3.200734
PYF,2014,3.0755603
PYF,2015,3.0458834
GAB,2008,3.3467827
GAB,2009,3.1924388
GAB,2010,3.393294
GAB,2011,3.270456
GAB,2012,3.0482535
GAB,2013,3.0980773
GAB,2014,3.219468
GAB,2015,3.1727533
GMB,2008,0.19954023
GMB,2009,0.19970173
GMB,2010,0.22060432
GMB,2011,0.22348401
GMB,2012,0.2187892
GMB,2013,0.20202431
GMB,2014,0.23359863
GMB,2015,0.26188698
GEO,2008,1.3470051
GEO,2009,1.5656357
GEO,2010,1.5934676
GEO,2011,2.017339
GEO,2012,2.150046
GEO,2013,2.1035118
GEO,2014,2.3566766
GEO,2015,2.573125
DEU,2008,10.560956
DEU,2009,9.760277
DEU,2010,10.227274
DEU,2011,9.949727
DEU,2012,10.060882
DEU,2013,10.263162
DEU,2014,9.739702
DEU,2015,9.757169
GHA,2008,0.3432718
GHA,2009,0.2762383
GHA,2010,0.35103092
GHA,2011,0.39607257
GHA,2012,0.47296032
GHA,2013,0.46031678
GHA,2014,0.47260037
GHA,2015,0.50766945
GRC,2008,10.028135
GRC,2009,9.391356
GRC,2010,8.751199
GRC,2011,8.507209
GRC,2012,8.2720995
GRC,2013,7.4504666
GRC,2014,7.218808
GRC,2015,6.924253
GRL,2008,11.950515
GRL,2009,10.477824
GRL,2010,11.996327
GRL,2011,12.7711115
GRL,2012,10.2075815
GRL,2013,9.958307
GRL,2014,9.299808
GRL,2015,9.379675
GRD,2008,2.2464137
GRD,2009,2.2721765
GRD,2010,2.2981875
GRD,2011,2.2553725
GRD,2012,2.4038796
GRD,2013,2.6148832
GRD,2014,2.086414
GRD,2015,2.2682164
GTM,2008,0.78170294
GTM,2009,0.80489284
GTM,2010,0.7653512
GTM,2011,0.75968224
GTM,2012,0.7671916
GTM,2013,0.8326118
GTM,2014,0.88173324
GTM,2015,0.9987567
GIN,2008,0.20172808
GIN,2009,0.2080599
GIN,2010,0.23895442
GIN,2011,0.2434229
GIN,2012,0.22175397
GIN,2013,0.1885711
GIN,2014,0.18874218
GIN,2015,0.20831138
GNB,2008,0.1526605
GNB,2009,0.15362844
GNB,2010,0.15204775
GNB,2011,0.15038021
GNB,2012,0.14865223
GNB,2013,0.14474717
GNB,2014,0.14941144
GNB,2015,0.15587465
GUY,2008,2.2626426
GUY,2009,2.5381687
GUY,2010,2.5184383
GUY,2011,2.6271112
GUY,2012,2.6266217
GUY,2013,2.5403023
GUY,2014,2.614615
GUY,2015,2.6401892
HTI,2008,0.18473162
HTI,2009,0.19487943
HTI,2010,0.21797019
HTI,2011,0.22924055
HTI,2012,0.22484934
HTI,2013,0.26473814
HTI,2014,0.26073095
HTI,2015,0.25283608
HND,2008,1.0649376
HND,2009,0.9805253
HND,2010,0.95586073
HND,2011,1.0374361
HND,2012,1.0577388
HND,2013,1.0535051
HND,2014,1.0461332
HND,2015,1.1202378
HKG,2008,6.0949264
HKG,2009,5.885711
HKG,2010,5.6413817
HKG,2011,6.0408654
HKG,2012,5.9355235
HKG,2013,6.09924
HKG,2014,6.2151423
HKG,2015,5.755845
HUN,2008,5.7089324
HUN,2009,5.1450386
HUN,2010,5.2101455
HUN,2011,5.0424895
HUN,2012,4.7112994
HUN,2013,4.3973107
HUN,2014,4.4245744
HUN,2015,4.732791
ISL,2008,12.005537
ISL,2009,11.712428
ISL,2010,11.398572
ISL,2011,10.978066
ISL,2012,10.9041
ISL,2013,10.769268
ISL,2014,10.518921
ISL,2015,10.69966
IND,2008,1.2330484
IND,2009,1.3155314
IND,2010,1.348904
IND,2011,1.3992052
IND,2012,1.5060124
IND,2013,1.53963
IND,2014,1.6371113
IND,2015,1.6823632
IDN,2008,1.5228244
IDN,2009,1.6402516
IDN,2010,1.8099734
IDN,2011,2.007153
IDN,2012,2.0417776
IDN,2013,1.911473
IDN,2014,1.8846371
IDN,2015,2.0593996
IRN,2008,6.999154
IRN,2009,7.1073537
IRN,2010,7.252518
IRN,2011,7.3503413
IRN,2012,7.548398
IRN,2013,7.5836763
IRN,2014,7.9034915
IRN,2015,7.769499
IRQ,2008,3.242486
IRQ,2009,3.4870806
IRQ,2010,3.6571085
IRQ,2011,3.8225088
IRQ,2012,3.9643958
IRQ,2013,3.9978633
IRQ,2014,3.7488601
IRQ,2015,3.780206
IRL,2008,10.557018
IRL,2009,9.306052
IRL,2010,9.166667
IRL,2011,8.309483
IRL,2012,8.309358
IRL,2013,8.060853
IRL,2014,7.910754
IRL,2015,8.233071
ISR,2008,9.598166
ISR,2009,8.862073
ISR,2010,9.30753
ISR,2011,9.18144
ISR,2012,9.830044
ISR,2013,8.141993
ISR,2014,7.633407
ISR,2015,7.8156967
ITA,2008,8.027411
ITA,2009,7.07901
ITA,2010,7.2420187
ITA,2011,7.0218515
ITA,2012,6.6649795
ITA,2013,6.0915275
ITA,2014,5.759583
ITA,2015,5.963722
JAM,2008,3.9549122
JAM,2009,2.8987157
JAM,2010,2.793193
JAM,2011,2.990628
JAM,2012,2.8541121
JAM,2013,3.0507147
JAM,2014,2.755235
JAM,2015,2.854169
JPN,2008,9.614812
JPN,2009,9.075358
JPN,2010,9.476892
JPN,2011,9.873785
JPN,2012,10.208827
JPN,2013,10.297997
JPN,2014,9.913243
JPN,2015,9.610615
JOR,2008,2.9640014
JOR,2009,2.9875946
JOR,2010,2.825161
JOR,2011,2.8399117
JOR,2012,3.138811
JOR,2013,2.9803257
JOR,2014,2.9458227
JOR,2015,2.6768591
KAZ,2008,13.808822
KAZ,2009,13.510935
KAZ,2010,14.777339
KAZ,2011,14.003732
KAZ,2012,14.234585
KAZ,2013,14.533928
KAZ,2014,15.395447
KAZ,2015,15.409125
KEN,2008,0.26099798
KEN,2009,0.3054444
KEN,2010,0.2923937
KEN,2011,0.3145013
KEN,2012,0.2849444
KEN,2013,0.29915392
KEN,2014,0.31555018
KEN,2015,0.36099023
KIR,2008,0.45696744
KIR,2009,0.44733703
KIR,2010,0.5392349
KIR,2011,0.49665195
KIR,2012,0.45680496
KIR,2013,0.45056963
KIR,2014,0.50828004
KIR,2015,0.47044322
KWT,2008,31.787466
KWT,2009,31.736452
KWT,2010,30.87387
KWT,2011,28.079378
KWT,2012,30.655422
KWT,2013,24.036089
KWT,2014,20.85096
KWT,2015,24.646885
KGZ,2008,1.4002515
KGZ,2009,1.2429179
KGZ,2010,1.157307
KGZ,2011,1.3620738
KGZ,2012,1.7706759
KGZ,2013,1.6790264
KGZ,2014,1.735474
KGZ,2015,1.7102621
LAO,2008,0.34661734
LAO,2009,0.427364
LAO,2010,0.47433203
LAO,2011,0.49327895
LAO,2012,0.52124435
LAO,2013,0.6445184
LAO,2014,0.6638192
LAO,2015,1.3569137
LVA,2008,3.7645297
LVA,2009,3.4808807
LVA,2010,4.0777874
LVA,2011,3.7918744
LVA,2012,3.6958518
LVA,2013,3.6605759
LVA,2014,3.5966187
LVA,2015,3.671837
LBN,2008,3.5363455
LBN,2009,4.197982
LBN,2010,3.9665632
LBN,2011,3.976463
LBN,2012,4.2653027
LBN,2013,3.8589041
LBN,2014,3.7800622
LBN,2015,3.9760017
LSO,2008,1.0806352
LSO,2009,1.1190554
LSO,2010,1.1398052
LSO,2011,1.5208943
LSO,2012,1.5200906
LSO,2013,1.134918
LSO,2014,1.1889864
LSO,2015,1.0654539
LBR,2008,0.13891521
LBR,2009,0.13238099
LBR,2010,0.17474402
LBR,2011,0.19396007
LBR,2012,0.20923978
LBR,2013,0.1955743
LBR,2014,0.16070938
LBR,2015,0.149814
LBY,2008,7.970455
LBY,2009,8.108887
LBY,2010,9.102708
LBY,2011,8.440869
LBY,2012,9.969772
LBY,2013,8.143835
LBY,2014,10.634143
LBY,2015,9.590554
LIE,2008,6.190041
LIE,2009,5.7465234
LIE,2010,5.297743
LIE,2011,4.8706985
LIE,2012,5.060759
LIE,2013,5.213783
LIE,2014,4.3359685
LIE,2015,4.2692924
LTU,2008,4.6765285
LTU,2009,4.065658
LTU,2010,4.465954
LTU,2011,4.6196947
LTU,2012,4.712947
LTU,2013,4.4551187
LTU,2014,4.3927965
LTU,2015,4.50427
LUX,2008,22.841446
LUX,2009,21.327303
LUX,2010,22.062008
LUX,2011,21.398838
LUX,2012,20.466053
LUX,2013,19.018114
LUX,2014,17.64577
LUX,2015,16.408415
MAC,2008,2.1125169
MAC,2009,3.4406824
MAC,2010,2.193934
MAC,2011,2.246857
MAC,2012,1.9272689
MAC,2013,1.6522367
MAC,2014,2.1192448
MAC,2015,2.8443456
MDG,2008,0.08506841
MDG,2009,0.079192325
MDG,2010,0.08438057
MDG,2011,0.104018636
MDG,2012,0.116961986
MDG,2013,0.13243145
MDG,2014,0.12500143
MDG,2015,0.12779745
MWI,2008,0.07143269
MWI,2009,0.07038913
MWI,2010,0.06532224
MWI,2011,0.06918783
MWI,2012,0.0678639
MWI,2013,0.07090026
MWI,2014,0.06261509
MWI,2015,0.06338003
MYS,2008,6.9948015
MYS,2009,6.8309536
MYS,2010,6.956578
MYS,2011,6.976618
MYS,2012,7.1803646
MYS,2013,8.009178
MYS,2014,7.983081
MYS,2015,7.5541778
MDV,2008,2.5067673
MDV,2009,2.5353708
MDV,2010,2.5895715
MDV,2011,2.6375794
MDV,2012,2.8700333
MDV,2013,2.729141
MDV,2014,3.1801326
MDV,2015,2.9865496
MLI,2008,0.13095537
MLI,2009,0.12224777
MLI,2010,0.1309786
MLI,2011,0.13838126
MLI,2012,0.14369018
MLI,2013,0.15712792
MLI,2014,0.1740068
MLI,2015,0.18281509
MLT,2008,6.494972
MLT,2009,6.085418
MLT,2010,6.1969185
MLT,2011,6.1418824
MLT,2012,6.4434643
MLT,2013,5.670233
MLT,2014,5.5630226
MLT,2015,3.81896
MHL,2008,2.4638324
MHL,2009,2.534763
MHL,2010,2.6038222
MHL,2011,2.6813025
MHL,2012,2.6355612
MHL,2013,2.74641
MHL,2014,2.8685336
MHL,2015,2.9268773
MRT,2008,0.5762726
MRT,2009,0.6126734
MRT,2010,0.6173814
MRT,2011,0.6366998
MRT,2012,0.6763049
MRT,2013,0.5807892
MRT,2014,0.66685754
MRT,2015,0.7570643
MUS,2008,2.955038
MUS,2009,2.899167
MUS,2010,3.0506911
MUS,2011,3.045094
MUS,2012,3.0751846
MUS,2013,3.1503289
MUS,2014,3.2556133
MUS,2015,3.2577534
MEX,2008,4.2852488
MEX,2009,4.109774
MEX,2010,4.0168395
MEX,2011,4.1937428
MEX,2012,4.2928977
MEX,2013,4.1862445
MEX,2014,4.0409694
MEX,2015,3.9598958
FSM,2008,1.0089309
FSM,2009,1.3574393
FSM,2010,0.9538296
FSM,2011,1.0885223
FSM,2012,1.154465
FSM,2013,1.2537153
FSM,2014,1.2505466
FSM,2015,1.3142642
MDA,2008,1.3732977
MDA,2009,1.2248391
MDA,2010,1.3300976
MDA,2011,1.3901005
MDA,2012,1.3684151
MDA,2013,1.4372926
MDA,2014,1.4236383
MDA,2015,1.4546742
MNG,2008,4.5238576
MNG,2009,4.887341
MNG,2010,5.097577
MNG,2011,7.78377
MNG,2012,12.520236
MNG,2013,15.2453575
MNG,2014,10.17017
MNG,2015,7.821957
MNE,2008,4.1164374
MNE,2009,2.6591656
MNE,2010,3.8315809
MNE,2011,3.8047767
MNE,2012,3.4931095
MNE,2013,3.3966484
MNE,2014,3.336839
MNE,2015,3.563981
MSR,2008,10.134468
MSR,2009,9.238915
MSR,2010,12.165179
MSR,2011,7.560875
MSR,2012,8.358357
MSR,2013,9.977378
MSR,2014,10.053187
MSR,2015,11.711059
MAR,2008,1.6252557
MAR,2009,1.5878394
MAR,2010,1.6744752
MAR,2011,1.6670716
MAR,2012,1.7074836
MAR,2013,1.6753621
MAR,2014,1.6715474
MAR,2015,1.6902413
MOZ,2008,0.099909686
MOZ,2009,0.10892431
MOZ,2010,0.114549376
MOZ,2011,0.1313638
MOZ,2012,0.12539078
MOZ,2013,0.14285164
MOZ,2014,0.3149504
MOZ,2015,0.25352833
MMR,2008,0.2019404
MMR,2009,0.20976587
MMR,2010,0.26765433
MMR,2011,0.30598977
MMR,2012,0.23714139
MMR,2013,0.2531134
MMR,2014,0.31272367
MMR,2015,0.42841157
NAM,2008,1.3961102
NAM,2009,1.2822412
NAM,2010,1.3198515
NAM,2011,1.2962108
NAM,2012,1.4586134
NAM,2013,1.5937734
NAM,2014,1.6175429
NAM,2015,1.6560265
NRU,2008,4.3827753
NRU,2009,4.0139427
NRU,2010,4.3675375
NRU,2011,3.9841835
NRU,2012,4.2733016
NRU,2013,4.5195937
NRU,2014,4.765072
NRU,2015,5.008201
NPL,2008,0.12418611
NPL,2009,0.15196507
NPL,2010,0.17644328
NPL,2011,0.19007917
NPL,2012,0.19866604
NPL,2013,0.22536574
NPL,2014,0.27432898
NPL,2015,0.24815801
NLD,2008,10.586404
NLD,2009,10.2033415
NLD,2010,10.869137
NLD,2011,10.038631
NLD,2012,9.78854
NLD,2013,9.710435
NLD,2014,9.239077
NLD,2015,9.571471
NCL,2008,11.220158
NCL,2009,11.8005905
NCL,2010,13.982816
NCL,2011,13.860325
NCL,2012,13.641444
NCL,2013,14.341293
NCL,2014,17.811096
NCL,2015,17.222122
NZL,2008,8.80055
NZL,2009,8.04252
NZL,2010,8.005895
NZL,2011,7.817582
NZL,2012,8.146852
NZL,2013,7.911772
NZL,2014,7.834458
NZL,2015,7.759409
NIC,2008,0.78282505
NIC,2009,0.7858231
NIC,2010,0.778716
NIC,2011,0.8258908
NIC,2012,0.7709784
NIC,2013,0.7696396
NIC,2014,0.7821856
NIC,2015,0.88316536
NER,2008,0.051565558
NER,2009,0.059721623
NER,2010,0.07009444
NER,2011,0.07665749
NER,2012,0.10340919
NER,2013,0.11222313
NER,2014,0.1174162
NER,2015,0.110637695
NGA,2008,0.57359296
NGA,2009,0.495811
NGA,2010,0.6872951
NGA,2011,0.7538578
NGA,2012,0.64739245
NGA,2013,0.6774222
NGA,2014,0.69541776
NGA,2015,0.60748696
NIU,2008,4.059834
NIU,2009,2.0344253
NIU,2010,2.0515118
NIU,2011,4.1261263
NIU,2012,4.107623
NIU,2013,4.1030235
NIU,2014,6.133929
NIU,2015,4.0643373
PRK,2008,2.839918
